Trap,Visit1,Visit2,Visit3,Visit4,Visit5,Visit6,Visit7,Visit8,Visit9,Visit10,Visit11,Visit12,GroundCover,AvgDiameter,Julian1,Julian2,Julian3,Julian4,Julian5,Julian6,Julian7,Julian8,Julian9,Julian10,Julian11,Julian12,Precip1,Precip2,Precip3,Precip4,Precip5,Precip6,Precip7,Precip8,Precip9,Precip10,Precip11,Precip12
E1,0,0,1,0,0,0,0,0,0,0,0,0,0.15,51.43,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E2,0,0,0,0,0,0,1,2,0,4,0,2,0.5,98.8,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E3,1,0,0,0,0,0,0,0,0,0,0,0,0.35,67.8,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E4,0,0,0,0,0,0,1,2,0,1,1,1,0.2,79.36,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E5,1,1,0,0,0,0,0,1,0,0,1,1,0.25,51.09,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E6,1,0,0,0,0,0,1,0,0,0,0,0,0.15,82.22,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E7,0,0,0,0,0,0,0,2,0,0,3,1,0.15,79.5,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E8,1,0,4,0,0,0,3,8,1,3,2,3,0.85,84.33,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E9,2,5,2,1,0,3,1,6,1,9,0,7,0.25,62.55,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E10,1,0,1,0,0,0,1,7,2,14,7,14,0.8,85,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E11,0,5,1,4,0,2,3,17,3,5,2,13,0.35,95,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E12,0,3,1,0,0,0,5,9,6,6,5,9,0.95,81.25,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E13,0,0,0,0,0,3,2,2,0,5,3,0,0.5,98,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E14,0,5,2,0,0,1,4,5,3,1,0,6,0.9,93.23,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E15,0,3,1,1,0,3,3,26,1,3,13,8,0.95,81.36,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E16,1,3,1,1,0,2,2,15,1,1,1,13,0.9,68.53,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E17,1,2,0,0,0,1,0,2,1,5,8,3,0.75,73,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E18,2,0,0,0,0,0,0,2,0,0,0,1,0.85,77.78,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E19,0,4,0,0,0,2,2,7,0,4,4,4,0.8,70.9,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E20,1,3,0,1,0,1,3,7,2,5,3,11,0.9,69.21,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E21,0,1,0,0,0,0,3,6,2,8,4,3,0.4,66.14,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E22,0,1,0,0,0,0,1,2,0,1,2,2,0.2,71.66,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E23,2,2,1,0,0,0,1,7,0,4,5,4,0.25,56.67,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E24,3,7,3,3,0,0,1,8,1,3,1,2,0.15,70,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
E25,0,0,0,0,0,0,0,0,0,1,0,2,0.95,130.38,137,139,141,145,148,151,153,157,158,160,162,164,0,11.8,0,5.8,0,0,0,0,0,1.2,0,0
M1,0,0,0,0,0,1,0,1,1,0,4,1,0.17,30,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M2,0,0,0,0,0,0,0,0,0,0,0,1,0.9,44,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M3,1,0,0,0,0,0,0,1,1,0,0,1,0.15,38.33,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M4,0,0,0,0,0,0,0,0,0,0,0,0,0.05,61.67,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,67,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M6,0,0,0,0,0,0,0,1,0,0,0,0,0.45,96,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M7,0,2,0,2,0,0,0,1,1,0,0,0,0.9,68.57,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,133.33,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M9,0,0,0,0,0,0,0,0,1,0,0,0,0.5,46.67,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M10,0,0,0,0,0,0,1,0,0,0,0,0,0.2,68.33,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M11,0,0,0,0,0,0,0,0,0,0,0,0,0.8,73,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M12,0,0,0,0,0,0,0,0,0,0,0,0,0.95,74.167,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M13,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M14,1,0,0,0,0,0,0,0,0,0,1,0,0.45,32.5,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M15,0,0,0,0,0,0,0,0,0,0,0,0,0.15,124,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M16,0,0,0,0,0,0,0,0,0,0,0,0,0.4,80,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M17,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M18,0,0,0,0,0,0,0,0,0,0,1,2,0.45,90,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M19,0,0,0,0,0,0,0,0,0,0,0,0,0.75,110,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M20,0,0,0,0,0,1,0,0,1,1,0,0,0.25,56.83,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M21,0,0,0,0,0,0,0,0,1,0,1,1,0.85,68.75,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M22,0,0,0,0,0,0,0,0,0,0,0,0,0.9,68,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M23,0,0,0,0,0,0,0,0,1,1,0,0,0.4,100,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M24,0,0,0,0,0,0,0,0,0,0,0,1,0.8,61.25,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
M25,0,0,0,0,0,0,0,0,0,1,0,0,0.05,88.5,137,139,140,143,146,150,152,154,157,159,161,163,0,11.8,0,3.1,0.8,0,0,0,0,0,11.2,0
